h3_cell,num_sinistros,year,month
89818398e03ffff,0.0,2024,6
89818398e03ffff,0.0,2024,7
89818398e03ffff,0.0,2024,8
89818398e03ffff,1.0,2024,9
89818398e03ffff,0.0,2024,10
89818398e03ffff,0.0,2024,11
89818398e03ffff,0.0,2024,12
89818398e03ffff,0.0,2025,12
89818398e07ffff,0.0,2015,6
89818398e07ffff,0.0,2015,7
89818398e07ffff,0.0,2015,8
89818398e07ffff,0.0,2015,9
89818398e07ffff,0.0,2015,10
89818398e07ffff,0.0,2015,11
89818398e07ffff,0.0,2015,12
89818398e07ffff,0.0,2016,1
89818398e07ffff,0.0,2016,2
89818398e07ffff,0.0,2016,3
89818398e07ffff,0.0,2016,4
89818398e07ffff,0.0,2016,5
89818398e07ffff,0.0,2016,6
89818398e07ffff,0.0,2016,7
89818398e07ffff,0.0,2016,8
89818398e07ffff,0.0,2016,9
89818398e07ffff,0.0,2016,10
89818398e07ffff,0.0,2016,11
89818398e07ffff,0.0,2016,12
89818398e07ffff,0.0,2017,1
89818398e07ffff,0.0,2017,2
89818398e07ffff,0.0,2017,3
89818398e07ffff,0.0,2017,4
89818398e07ffff,0.0,2017,5
89818398e07ffff,0.0,2017,6
89818398e07ffff,0.0,2017,7
89818398e07ffff,0.0,2017,8
89818398e07ffff,0.0,2017,9
89818398e07ffff,0.0,2017,10
89818398e07ffff,0.0,2017,11
89818398e07ffff,0.0,2017,12
89818398e07ffff,0.0,2018,1
89818398e07ffff,0.0,2018,2
89818398e07ffff,0.0,2018,3
89818398e07ffff,0.0,2018,4
89818398e07ffff,0.0,2018,5
89818398e07ffff,0.0,2018,6
89818398e07ffff,0.0,2018,7
89818398e07ffff,0.0,2018,8
89818398e07ffff,0.0,2018,9
89818398e07ffff,0.0,2018,10
89818398e07ffff,0.0,2018,11
89818398e07ffff,0.0,2018,12
89818398e07ffff,0.0,2019,1
89818398e07ffff,0.0,2019,2
89818398e07ffff,0.0,2019,3
89818398e07ffff,0.0,2019,4
89818398e07ffff,0.0,2019,5
89818398e07ffff,0.0,2019,6
89818398e07ffff,1.0,2019,7
89818398e07ffff,0.0,2019,8
89818398e07ffff,0.0,2019,9
89818398e07ffff,0.0,2019,10
89818398e07ffff,0.0,2019,11
89818398e07ffff,2.0,2019,12
89818398e07ffff,0.0,2021,12
89818398e07ffff,0.0,2022,1
89818398e07ffff,0.0,2022,2
89818398e07ffff,0.0,2022,3
89818398e07ffff,0.0,2022,4
89818398e07ffff,0.0,2022,5
89818398e07ffff,0.0,2022,6
89818398e07ffff,0.0,2022,7
89818398e07ffff,0.0,2022,8
89818398e07ffff,0.0,2022,9
89818398e07ffff,0.0,2022,10
89818398e07ffff,0.0,2022,11
89818398e07ffff,0.0,2022,12
89818398e07ffff,0.0,2023,1
89818398e07ffff,0.0,2023,2
89818398e07ffff,0.0,2023,3
89818398e07ffff,0.0,2023,4
89818398e07ffff,0.0,2023,5
89818398e07ffff,0.0,2023,6
89818398e07ffff,0.0,2023,7
89818398e07ffff,0.0,2023,8
89818398e07ffff,0.0,2023,9
89818398e07ffff,0.0,2023,10
89818398e07ffff,0.0,2023,11
89818398e07ffff,0.0,2023,12
89818398e07ffff,0.0,2024,1
89818398e07ffff,0.0,2024,2
89818398e07ffff,0.0,2024,3
89818398e07ffff,0.0,2024,4
89818398e07ffff,0.0,2024,5
89818398e07ffff,0.0,2024,6
89818398e07ffff,0.0,2024,7
89818398e07ffff,0.0,2024,8
89818398e07ffff,0.0,2024,9
89818398e07ffff,0.0,2024,10
89818398e07ffff,0.0,2024,11
89818398e07ffff,0.0,2024,12
89818398e07ffff,0.0,2025,12
89818398e0bffff,0.0,2015,6
89818398e0bffff,0.0,2015,7
89818398e0bffff,2.0,2015,8
89818398e0bffff,0.0,2015,9
89818398e0bffff,0.0,2015,10
89818398e0bffff,0.0,2015,11
89818398e0bffff,0.0,2015,12
89818398e0bffff,0.0,2016,1
89818398e0bffff,0.0,2016,2
89818398e0bffff,0.0,2016,3
89818398e0bffff,1.0,2016,4
89818398e0bffff,0.0,2016,5
89818398e0bffff,0.0,2016,6
89818398e0bffff,0.0,2016,7
89818398e0bffff,0.0,2016,8
89818398e0bffff,0.0,2016,9
89818398e0bffff,0.0,2016,10
89818398e0bffff,0.0,2016,11
89818398e0bffff,0.0,2016,12
89818398e0bffff,0.0,2017,1
89818398e0bffff,0.0,2017,2
89818398e0bffff,0.0,2017,3
89818398e0bffff,0.0,2017,4
89818398e0bffff,0.0,2017,5
89818398e0bffff,0.0,2017,6
89818398e0bffff,0.0,2017,7
89818398e0bffff,0.0,2017,8
89818398e0bffff,0.0,2017,9
89818398e0bffff,0.0,2017,10
89818398e0bffff,0.0,2017,11
89818398e0bffff,0.0,2017,12
89818398e0bffff,0.0,2018,1
89818398e0bffff,0.0,2018,2
89818398e0bffff,0.0,2018,3
89818398e0bffff,0.0,2018,4
89818398e0bffff,0.0,2018,5
89818398e0bffff,0.0,2018,6
89818398e0bffff,1.0,2018,7
89818398e0bffff,0.0,2018,8
89818398e0bffff,0.0,2018,9
89818398e0bffff,0.0,2018,10
89818398e0bffff,0.0,2018,11
89818398e0bffff,0.0,2018,12
89818398e0bffff,0.0,2019,1
89818398e0bffff,0.0,2019,2
89818398e0bffff,0.0,2019,3
89818398e0bffff,0.0,2019,4
89818398e0bffff,0.0,2019,5
89818398e0bffff,0.0,2019,6
89818398e0bffff,0.0,2019,7
89818398e0bffff,0.0,2019,8
89818398e0bffff,1.0,2019,9
89818398e0bffff,1.0,2019,10
89818398e0bffff,0.0,2019,11
89818398e0bffff,1.0,2019,12
89818398e0bffff,0.0,2021,12
89818398e0bffff,0.0,2022,1
89818398e0bffff,0.0,2022,2
89818398e0bffff,0.0,2022,3
89818398e0bffff,0.0,2022,4
89818398e0bffff,0.0,2022,5
89818398e0bffff,0.0,2022,6
89818398e0bffff,0.0,2022,7
89818398e0bffff,0.0,2022,8
89818398e0bffff,0.0,2022,9
89818398e0bffff,0.0,2022,10
89818398e0bffff,0.0,2022,11
89818398e0bffff,0.0,2022,12
89818398e0bffff,0.0,2023,1
89818398e0bffff,0.0,2023,2
89818398e0bffff,0.0,2023,3
89818398e0bffff,0.0,2023,4
89818398e0bffff,0.0,2023,5
89818398e0bffff,0.0,2023,6
89818398e0bffff,0.0,2023,7
89818398e0bffff,0.0,2023,8
89818398e0bffff,0.0,2023,9
89818398e0bffff,0.0,2023,10
89818398e0bffff,0.0,2023,11
89818398e0bffff,0.0,2023,12
89818398e0bffff,0.0,2024,1
89818398e0bffff,0.0,2024,2
89818398e0bffff,1.0,2024,3
89818398e0bffff,1.0,2024,4
89818398e0bffff,0.0,2024,5
89818398e0bffff,0.0,2024,6
89818398e0bffff,0.0,2024,7
89818398e0bffff,0.0,2024,8
89818398e0bffff,0.0,2024,9
89818398e0bffff,0.0,2024,10
89818398e0bffff,0.0,2024,11
89818398e0bffff,0.0,2024,12
89818398e0bffff,0.0,2025,12
89818398e0fffff,1.0,2015,6
89818398e0fffff,0.0,2015,7
89818398e0fffff,0.0,2015,8
89818398e0fffff,0.0,2015,9
89818398e0fffff,0.0,2015,10
89818398e0fffff,0.0,2015,11
89818398e0fffff,3.0,2015,12
89818398e0fffff,0.0,2016,1
89818398e0fffff,1.0,2016,2
89818398e0fffff,0.0,2016,3
89818398e0fffff,0.0,2016,4
89818398e0fffff,0.0,2016,5
89818398e0fffff,3.0,2016,6
89818398e0fffff,0.0,2016,7
89818398e0fffff,0.0,2016,8
89818398e0fffff,0.0,2016,9
89818398e0fffff,1.0,2016,10
89818398e0fffff,0.0,2016,11
89818398e0fffff,1.0,2016,12
89818398e0fffff,1.0,2017,1
89818398e0fffff,0.0,2017,2
89818398e0fffff,2.0,2017,3
89818398e0fffff,0.0,2017,4
89818398e0fffff,1.0,2017,5
89818398e0fffff,0.0,2017,6
89818398e0fffff,0.0,2017,7
89818398e0fffff,0.0,2017,8
89818398e0fffff,0.0,2017,9
89818398e0fffff,2.0,2017,10
89818398e0fffff,1.0,2017,11
89818398e0fffff,0.0,2017,12
89818398e0fffff,1.0,2018,1
89818398e0fffff,2.0,2018,2
89818398e0fffff,2.0,2018,3
89818398e0fffff,1.0,2018,4
89818398e0fffff,0.0,2018,5
89818398e0fffff,1.0,2018,6
89818398e0fffff,0.0,2018,7
89818398e0fffff,2.0,2018,8
89818398e0fffff,0.0,2018,9
89818398e0fffff,1.0,2018,10
89818398e0fffff,1.0,2018,11
89818398e0fffff,3.0,2018,12
89818398e0fffff,1.0,2019,1
89818398e0fffff,0.0,2019,2
89818398e0fffff,2.0,2019,3
89818398e0fffff,3.0,2019,4
89818398e0fffff,1.0,2019,5
89818398e0fffff,0.0,2019,6
89818398e0fffff,2.0,2019,7
89818398e0fffff,1.0,2019,8
89818398e0fffff,0.0,2019,9
89818398e0fffff,2.0,2019,10
89818398e0fffff,1.0,2019,11
89818398e0fffff,0.0,2019,12
89818398e0fffff,0.0,2021,12
89818398e0fffff,0.0,2022,1
89818398e0fffff,0.0,2022,2
89818398e0fffff,0.0,2022,3
89818398e0fffff,0.0,2022,4
89818398e0fffff,0.0,2022,5
89818398e0fffff,0.0,2022,6
89818398e0fffff,0.0,2022,7
89818398e0fffff,0.0,2022,8
89818398e0fffff,0.0,2022,9
89818398e0fffff,0.0,2022,10
89818398e0fffff,0.0,2022,11
89818398e0fffff,0.0,2022,12
89818398e0fffff,0.0,2023,1
89818398e0fffff,0.0,2023,2
89818398e0fffff,0.0,2023,3
89818398e0fffff,0.0,2023,4
89818398e0fffff,0.0,2023,5
89818398e0fffff,0.0,2023,6
89818398e0fffff,0.0,2023,7
89818398e0fffff,0.0,2023,8
89818398e0fffff,1.0,2023,9
89818398e0fffff,0.0,2023,10
89818398e0fffff,0.0,2023,11
89818398e0fffff,0.0,2023,12
89818398e0fffff,0.0,2024,1
89818398e0fffff,0.0,2024,2
89818398e0fffff,0.0,2024,3
89818398e0fffff,2.0,2024,4
89818398e0fffff,2.0,2024,5
89818398e0fffff,1.0,2024,6
89818398e0fffff,1.0,2024,7
89818398e0fffff,0.0,2024,8
89818398e0fffff,0.0,2024,9
89818398e0fffff,1.0,2024,10
89818398e0fffff,0.0,2024,11
89818398e0fffff,1.0,2024,12
89818398e0fffff,0.0,2025,12
89818398e13ffff,0.0,2015,6
89818398e13ffff,0.0,2015,7
89818398e13ffff,0.0,2015,8
89818398e13ffff,0.0,2015,9
89818398e13ffff,0.0,2015,10
89818398e13ffff,0.0,2015,11
89818398e13ffff,0.0,2015,12
89818398e13ffff,0.0,2016,1
89818398e13ffff,0.0,2016,2
89818398e13ffff,0.0,2016,3
89818398e13ffff,0.0,2016,4
89818398e13ffff,1.0,2016,5
89818398e13ffff,0.0,2016,6
89818398e13ffff,0.0,2016,7
89818398e13ffff,0.0,2016,8
89818398e13ffff,0.0,2016,9
89818398e13ffff,0.0,2016,10
89818398e13ffff,0.0,2016,11
89818398e13ffff,0.0,2016,12
89818398e13ffff,0.0,2017,1
89818398e13ffff,1.0,2017,2
89818398e13ffff,0.0,2017,3
89818398e13ffff,0.0,2017,4
89818398e13ffff,0.0,2017,5
89818398e13ffff,0.0,2017,6
89818398e13ffff,0.0,2017,7
89818398e13ffff,0.0,2017,8
89818398e13ffff,0.0,2017,9
89818398e13ffff,0.0,2017,10
89818398e13ffff,2.0,2017,11
89818398e13ffff,0.0,2017,12
89818398e13ffff,0.0,2018,1
89818398e13ffff,0.0,2018,2
89818398e13ffff,0.0,2018,3
89818398e13ffff,0.0,2018,4
89818398e13ffff,0.0,2018,5
89818398e13ffff,1.0,2018,6
89818398e13ffff,0.0,2018,7
89818398e13ffff,0.0,2018,8
89818398e13ffff,0.0,2018,9
89818398e13ffff,1.0,2018,10
89818398e13ffff,1.0,2018,11
89818398e13ffff,0.0,2018,12
89818398e13ffff,1.0,2019,1
89818398e13ffff,0.0,2019,2
89818398e13ffff,1.0,2019,3
89818398e13ffff,0.0,2019,4
89818398e13ffff,1.0,2019,5
89818398e13ffff,0.0,2019,6
89818398e13ffff,0.0,2019,7
89818398e13ffff,2.0,2019,8
89818398e13ffff,1.0,2019,9
89818398e13ffff,2.0,2019,10
89818398e13ffff,0.0,2019,11
89818398e13ffff,0.0,2019,12
89818398e13ffff,0.0,2021,12
89818398e13ffff,0.0,2022,1
89818398e13ffff,0.0,2022,2
89818398e13ffff,0.0,2022,3
89818398e13ffff,0.0,2022,4
89818398e13ffff,0.0,2022,5
89818398e13ffff,0.0,2022,6
89818398e13ffff,0.0,2022,7
89818398e13ffff,0.0,2022,8
89818398e13ffff,0.0,2022,9
89818398e13ffff,0.0,2022,10
89818398e13ffff,0.0,2022,11
89818398e13ffff,0.0,2022,12
89818398e13ffff,0.0,2023,1
89818398e13ffff,0.0,2023,2
89818398e13ffff,0.0,2023,3
89818398e13ffff,0.0,2023,4
89818398e13ffff,0.0,2023,5
89818398e13ffff,0.0,2023,6
89818398e13ffff,0.0,2023,7
89818398e13ffff,0.0,2023,8
89818398e13ffff,0.0,2023,9
89818398e13ffff,0.0,2023,10
89818398e13ffff,0.0,2023,11
89818398e13ffff,0.0,2023,12
89818398e13ffff,0.0,2024,1
89818398e13ffff,0.0,2024,2
89818398e13ffff,0.0,2024,3
89818398e13ffff,0.0,2024,4
89818398e13ffff,0.0,2024,5
89818398e13ffff,0.0,2024,6
89818398e13ffff,0.0,2024,7
89818398e13ffff,0.0,2024,8
89818398e13ffff,0.0,2024,9
89818398e13ffff,0.0,2024,10
89818398e13ffff,0.0,2024,11
89818398e13ffff,0.0,2024,12
89818398e13ffff,0.0,2025,12
89818398e17ffff,0.0,2015,6
89818398e17ffff,0.0,2015,7
89818398e17ffff,1.0,2015,8
89818398e17ffff,0.0,2015,9
89818398e17ffff,0.0,2015,10
89818398e17ffff,0.0,2015,11
89818398e17ffff,0.0,2015,12
89818398e17ffff,0.0,2016,1
89818398e17ffff,0.0,2016,2
89818398e17ffff,0.0,2016,3
89818398e17ffff,0.0,2016,4
89818398e17ffff,1.0,2016,5
89818398e17ffff,0.0,2016,6
89818398e17ffff,0.0,2016,7
89818398e17ffff,0.0,2016,8
89818398e17ffff,0.0,2016,9
89818398e17ffff,0.0,2016,10
89818398e17ffff,0.0,2016,11
89818398e17ffff,1.0,2016,12
89818398e17ffff,1.0,2017,1
89818398e17ffff,0.0,2017,2
89818398e17ffff,0.0,2017,3
89818398e17ffff,0.0,2017,4
89818398e17ffff,0.0,2017,5
89818398e17ffff,0.0,2017,6
89818398e17ffff,1.0,2017,7
89818398e17ffff,1.0,2017,8
89818398e17ffff,2.0,2017,9
89818398e17ffff,0.0,2017,10
89818398e17ffff,0.0,2017,11
89818398e17ffff,0.0,2017,12
89818398e17ffff,1.0,2018,1
89818398e17ffff,0.0,2018,2
89818398e17ffff,1.0,2018,3
89818398e17ffff,0.0,2018,4
89818398e17ffff,0.0,2018,5
89818398e17ffff,0.0,2018,6
89818398e17ffff,0.0,2018,7
89818398e17ffff,0.0,2018,8
89818398e17ffff,0.0,2018,9
89818398e17ffff,2.0,2018,10
89818398e17ffff,1.0,2018,11
89818398e17ffff,2.0,2018,12
89818398e17ffff,3.0,2019,1
89818398e17ffff,0.0,2019,2
89818398e17ffff,0.0,2019,3
89818398e17ffff,0.0,2019,4
89818398e17ffff,0.0,2019,5
89818398e17ffff,0.0,2019,6
89818398e17ffff,0.0,2019,7
89818398e17ffff,1.0,2019,8
89818398e17ffff,0.0,2019,9
89818398e17ffff,0.0,2019,10
89818398e17ffff,0.0,2019,11
89818398e17ffff,2.0,2019,12
89818398e17ffff,0.0,2021,12
89818398e17ffff,0.0,2022,1
89818398e17ffff,0.0,2022,2
89818398e17ffff,0.0,2022,3
89818398e17ffff,0.0,2022,4
89818398e17ffff,0.0,2022,5
89818398e17ffff,0.0,2022,6
89818398e17ffff,0.0,2022,7
89818398e17ffff,0.0,2022,8
89818398e17ffff,0.0,2022,9
89818398e17ffff,0.0,2022,10
89818398e17ffff,0.0,2022,11
89818398e17ffff,0.0,2022,12
89818398e17ffff,1.0,2023,1
89818398e17ffff,0.0,2023,2
89818398e17ffff,0.0,2023,3
89818398e17ffff,1.0,2023,4
89818398e17ffff,0.0,2023,5
89818398e17ffff,0.0,2023,6
89818398e17ffff,0.0,2023,7
89818398e17ffff,1.0,2023,8
89818398e17ffff,2.0,2023,9
89818398e17ffff,0.0,2023,10
89818398e17ffff,0.0,2023,11
89818398e17ffff,0.0,2023,12
89818398e17ffff,0.0,2024,1
89818398e17ffff,0.0,2024,2
89818398e17ffff,0.0,2024,3
89818398e17ffff,0.0,2024,4
89818398e17ffff,0.0,2024,5
89818398e17ffff,1.0,2024,6
89818398e17ffff,0.0,2024,7
89818398e17ffff,0.0,2024,8
89818398e17ffff,1.0,2024,9
89818398e17ffff,0.0,2024,10
89818398e17ffff,1.0,2024,11
89818398e17ffff,2.0,2024,12
89818398e17ffff,0.0,2025,12
89818398e1bffff,1.0,2015,6
89818398e1bffff,0.0,2015,7
89818398e1bffff,1.0,2015,8
89818398e1bffff,0.0,2015,9
89818398e1bffff,0.0,2015,10
89818398e1bffff,0.0,2015,11
89818398e1bffff,0.0,2015,12
89818398e1bffff,2.0,2016,1
89818398e1bffff,0.0,2016,2
89818398e1bffff,0.0,2016,3
89818398e1bffff,0.0,2016,4
89818398e1bffff,0.0,2016,5
89818398e1bffff,0.0,2016,6
89818398e1bffff,0.0,2016,7
89818398e1bffff,0.0,2016,8
89818398e1bffff,0.0,2016,9
89818398e1bffff,0.0,2016,10
89818398e1bffff,0.0,2016,11
89818398e1bffff,0.0,2016,12
89818398e1bffff,0.0,2017,1
89818398e1bffff,0.0,2017,2
89818398e1bffff,0.0,2017,3
89818398e1bffff,0.0,2017,4
89818398e1bffff,1.0,2017,5
89818398e1bffff,0.0,2017,6
89818398e1bffff,0.0,2017,7
89818398e1bffff,0.0,2017,8
89818398e1bffff,0.0,2017,9
89818398e1bffff,0.0,2017,10
89818398e1bffff,0.0,2017,11
89818398e1bffff,0.0,2017,12
89818398e1bffff,0.0,2018,1
89818398e1bffff,0.0,2018,2
89818398e1bffff,0.0,2018,3
89818398e1bffff,0.0,2018,4
89818398e1bffff,0.0,2018,5
89818398e1bffff,0.0,2018,6
89818398e1bffff,0.0,2018,7
89818398e1bffff,0.0,2018,8
89818398e1bffff,0.0,2018,9
89818398e1bffff,0.0,2018,10
89818398e1bffff,0.0,2018,11
89818398e1bffff,0.0,2018,12
89818398e1bffff,0.0,2019,1
89818398e1bffff,0.0,2019,2
89818398e1bffff,0.0,2019,3
89818398e1bffff,0.0,2019,4
89818398e1bffff,0.0,2019,5
89818398e1bffff,0.0,2019,6
89818398e1bffff,0.0,2019,7
89818398e1bffff,1.0,2019,8
89818398e1bffff,0.0,2019,9
89818398e1bffff,0.0,2019,10
89818398e1bffff,0.0,2019,11
89818398e1bffff,1.0,2019,12
89818398e1bffff,0.0,2021,12
89818398e1bffff,0.0,2022,1
89818398e1bffff,0.0,2022,2
89818398e1bffff,0.0,2022,3
89818398e1bffff,0.0,2022,4
89818398e1bffff,0.0,2022,5
89818398e1bffff,0.0,2022,6
89818398e1bffff,0.0,2022,7
89818398e1bffff,0.0,2022,8
89818398e1bffff,0.0,2022,9
89818398e1bffff,0.0,2022,10
89818398e1bffff,0.0,2022,11
89818398e1bffff,0.0,2022,12
89818398e1bffff,0.0,2023,1
89818398e1bffff,0.0,2023,2
89818398e1bffff,0.0,2023,3
89818398e1bffff,0.0,2023,4
89818398e1bffff,0.0,2023,5
89818398e1bffff,0.0,2023,6
89818398e1bffff,0.0,2023,7
89818398e1bffff,0.0,2023,8
89818398e1bffff,0.0,2023,9
89818398e1bffff,0.0,2023,10
89818398e1bffff,0.0,2023,11
89818398e1bffff,0.0,2023,12
89818398e1bffff,0.0,2024,1
89818398e1bffff,0.0,2024,2
89818398e1bffff,0.0,2024,3
89818398e1bffff,0.0,2024,4
89818398e1bffff,0.0,2024,5
89818398e1bffff,0.0,2024,6
89818398e1bffff,0.0,2024,7
89818398e1bffff,0.0,2024,8
89818398e1bffff,0.0,2024,9
89818398e1bffff,1.0,2024,10
89818398e1bffff,0.0,2024,11
89818398e1bffff,0.0,2024,12
89818398e1bffff,0.0,2025,12
89818398e23ffff,0.0,2015,6
89818398e23ffff,0.0,2015,7
89818398e23ffff,1.0,2015,8
89818398e23ffff,0.0,2015,9
89818398e23ffff,0.0,2015,10
89818398e23ffff,0.0,2015,11
89818398e23ffff,0.0,2015,12
89818398e23ffff,0.0,2016,1
89818398e23ffff,0.0,2016,2
89818398e23ffff,0.0,2016,3
89818398e23ffff,0.0,2016,4
89818398e23ffff,0.0,2016,5
89818398e23ffff,0.0,2016,6
89818398e23ffff,0.0,2016,7
89818398e23ffff,0.0,2016,8
89818398e23ffff,0.0,2016,9
89818398e23ffff,0.0,2016,10
89818398e23ffff,0.0,2016,11
89818398e23ffff,0.0,2016,12
89818398e23ffff,0.0,2017,1
89818398e23ffff,0.0,2017,2
89818398e23ffff,0.0,2017,3
89818398e23ffff,0.0,2017,4
89818398e23ffff,0.0,2017,5
89818398e23ffff,0.0,2017,6
89818398e23ffff,0.0,2017,7
89818398e23ffff,0.0,2017,8
89818398e23ffff,0.0,2017,9
89818398e23ffff,0.0,2017,10
89818398e23ffff,0.0,2017,11
89818398e23ffff,0.0,2017,12
89818398e23ffff,0.0,2018,1
89818398e23ffff,0.0,2018,2
89818398e23ffff,0.0,2018,3
89818398e23ffff,0.0,2018,4
89818398e23ffff,0.0,2018,5
89818398e23ffff,0.0,2018,6
89818398e23ffff,0.0,2018,7
89818398e23ffff,0.0,2018,8
89818398e23ffff,0.0,2018,9
89818398e23ffff,0.0,2018,10
89818398e23ffff,0.0,2018,11
89818398e23ffff,0.0,2018,12
89818398e23ffff,0.0,2019,1
89818398e23ffff,1.0,2019,2
89818398e23ffff,0.0,2019,3
89818398e23ffff,0.0,2019,4
89818398e23ffff,0.0,2019,5
89818398e23ffff,0.0,2019,6
89818398e23ffff,0.0,2019,7
89818398e23ffff,0.0,2019,8
89818398e23ffff,0.0,2019,9
89818398e23ffff,0.0,2019,10
89818398e23ffff,1.0,2019,11
89818398e23ffff,0.0,2019,12
89818398e23ffff,0.0,2021,12
89818398e23ffff,0.0,2022,1
89818398e23ffff,0.0,2022,2
89818398e23ffff,0.0,2022,3
89818398e23ffff,0.0,2022,4
89818398e23ffff,0.0,2022,5
89818398e23ffff,0.0,2022,6
89818398e23ffff,0.0,2022,7
89818398e23ffff,0.0,2022,8
89818398e23ffff,0.0,2022,9
89818398e23ffff,0.0,2022,10
89818398e23ffff,0.0,2022,11
89818398e23ffff,0.0,2022,12
89818398e23ffff,0.0,2023,1
89818398e23ffff,0.0,2023,2
89818398e23ffff,0.0,2023,3
89818398e23ffff,0.0,2023,4
89818398e23ffff,0.0,2023,5
89818398e23ffff,0.0,2023,6
89818398e23ffff,0.0,2023,7
89818398e23ffff,0.0,2023,8
89818398e23ffff,0.0,2023,9
89818398e23ffff,0.0,2023,10
89818398e23ffff,1.0,2023,11
89818398e23ffff,0.0,2023,12
89818398e23ffff,0.0,2024,1
89818398e23ffff,0.0,2024,2
89818398e23ffff,0.0,2024,3
89818398e23ffff,0.0,2024,4
89818398e23ffff,0.0,2024,5
89818398e23ffff,0.0,2024,6
89818398e23ffff,0.0,2024,7
89818398e23ffff,0.0,2024,8
89818398e23ffff,0.0,2024,9
89818398e23ffff,0.0,2024,10
89818398e23ffff,0.0,2024,11
89818398e23ffff,0.0,2024,12
89818398e23ffff,0.0,2025,12
89818398e2bffff,0.0,2015,6
89818398e2bffff,0.0,2015,7
89818398e2bffff,0.0,2015,8
89818398e2bffff,0.0,2015,9
89818398e2bffff,0.0,2015,10
89818398e2bffff,0.0,2015,11
89818398e2bffff,0.0,2015,12
89818398e2bffff,1.0,2016,1
89818398e2bffff,1.0,2016,2
89818398e2bffff,1.0,2016,3
89818398e2bffff,0.0,2016,4
89818398e2bffff,0.0,2016,5
89818398e2bffff,0.0,2016,6
89818398e2bffff,0.0,2016,7
89818398e2bffff,0.0,2016,8
89818398e2bffff,0.0,2016,9
89818398e2bffff,0.0,2016,10
89818398e2bffff,1.0,2016,11
89818398e2bffff,0.0,2016,12
89818398e2bffff,0.0,2017,1
89818398e2bffff,1.0,2017,2
89818398e2bffff,0.0,2017,3
89818398e2bffff,0.0,2017,4
89818398e2bffff,0.0,2017,5
89818398e2bffff,2.0,2017,6
89818398e2bffff,0.0,2017,7
89818398e2bffff,2.0,2017,8
89818398e2bffff,0.0,2017,9
89818398e2bffff,0.0,2017,10
89818398e2bffff,0.0,2017,11
89818398e2bffff,1.0,2017,12
89818398e2bffff,0.0,2018,1
89818398e2bffff,1.0,2018,2
89818398e2bffff,0.0,2018,3
89818398e2bffff,0.0,2018,4
89818398e2bffff,0.0,2018,5
89818398e2bffff,0.0,2018,6
89818398e2bffff,1.0,2018,7
89818398e2bffff,0.0,2018,8
89818398e2bffff,0.0,2018,9
89818398e2bffff,2.0,2018,10
89818398e2bffff,0.0,2018,11
89818398e2bffff,1.0,2018,12
89818398e2bffff,0.0,2019,1
89818398e2bffff,0.0,2019,2
89818398e2bffff,1.0,2019,3
89818398e2bffff,0.0,2019,4
89818398e2bffff,0.0,2019,5
89818398e2bffff,0.0,2019,6
89818398e2bffff,0.0,2019,7
89818398e2bffff,1.0,2019,8
89818398e2bffff,0.0,2019,9
89818398e2bffff,0.0,2019,10
89818398e2bffff,0.0,2019,11
89818398e2bffff,1.0,2019,12
89818398e2bffff,0.0,2021,12
89818398e2bffff,0.0,2022,1
89818398e2bffff,0.0,2022,2
89818398e2bffff,0.0,2022,3
89818398e2bffff,0.0,2022,4
89818398e2bffff,0.0,2022,5
89818398e2bffff,0.0,2022,6
89818398e2bffff,0.0,2022,7
89818398e2bffff,0.0,2022,8
89818398e2bffff,0.0,2022,9
89818398e2bffff,0.0,2022,10
89818398e2bffff,0.0,2022,11
89818398e2bffff,0.0,2022,12
89818398e2bffff,0.0,2023,1
89818398e2bffff,0.0,2023,2
89818398e2bffff,0.0,2023,3
89818398e2bffff,0.0,2023,4
89818398e2bffff,0.0,2023,5
89818398e2bffff,1.0,2023,6
89818398e2bffff,0.0,2023,7
89818398e2bffff,0.0,2023,8
89818398e2bffff,0.0,2023,9
89818398e2bffff,0.0,2023,10
89818398e2bffff,0.0,2023,11
89818398e2bffff,0.0,2023,12
89818398e2bffff,0.0,2024,1
89818398e2bffff,1.0,2024,2
89818398e2bffff,1.0,2024,3
89818398e2bffff,0.0,2024,4
89818398e2bffff,1.0,2024,5
89818398e2bffff,0.0,2024,6
89818398e2bffff,1.0,2024,7
89818398e2bffff,1.0,2024,8
89818398e2bffff,0.0,2024,9
89818398e2bffff,0.0,2024,10
89818398e2bffff,0.0,2024,11
89818398e2bffff,0.0,2024,12
89818398e2bffff,0.0,2025,12
89818398e2fffff,0.0,2015,6
89818398e2fffff,0.0,2015,7
89818398e2fffff,0.0,2015,8
89818398e2fffff,0.0,2015,9
89818398e2fffff,0.0,2015,10
89818398e2fffff,1.0,2015,11
89818398e2fffff,0.0,2015,12
89818398e2fffff,1.0,2016,1
89818398e2fffff,0.0,2016,2
89818398e2fffff,0.0,2016,3
89818398e2fffff,0.0,2016,4
89818398e2fffff,0.0,2016,5
89818398e2fffff,0.0,2016,6
89818398e2fffff,0.0,2016,7
89818398e2fffff,0.0,2016,8
89818398e2fffff,0.0,2016,9
89818398e2fffff,0.0,2016,10
89818398e2fffff,0.0,2016,11
89818398e2fffff,1.0,2016,12
89818398e2fffff,0.0,2017,1
89818398e2fffff,1.0,2017,2
89818398e2fffff,0.0,2017,3
89818398e2fffff,0.0,2017,4
89818398e2fffff,0.0,2017,5
